,Dataset Name,Dataset Name 2,F1 Score
0,Observer 1,Observer 1,1.0
1,Observer 1,Observer 2,0.13450502016341082
2,Observer 1,Observer 3,0.13471140017172245
3,Observer 1,Ensemble,0.3477624284333814
4,Observer 2,Observer 1,0.10455747983658921
5,Observer 2,Observer 2,1.0
6,Observer 2,Observer 3,0.6203147006444543
7,Observer 2,Ensemble,0.7972069066021426
8,Observer 3,Observer 1,0.09966359982827755
9,Observer 3,Observer 2,0.6304665493555457
10,Observer 3,Observer 3,1.0
11,Observer 3,Ensemble,0.791669010708742
12,Ensemble,Observer 1,0.1725500715666186
13,Ensemble,Observer 2,0.7215430933978575
14,Ensemble,Observer 3,0.712237239291258
15,Ensemble,Ensemble,1.0
